date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:30	35959/35959	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:29%20GMT	http://mitsubishisavico.com.vn/tin-tuc/cham-soc-xe-yeu-don-chao-nam-moi-n577.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/cham-soc-xe-yeu-don-chao-nam-moi-n577.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-khuyen-mai-c5/)
14:06:30	39480/39480	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:30%20GMT	http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/?page=4	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/indexfdb0.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:52	339239/339239	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2003%20Aug%202018%2008:26:22%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/c23f7b4032a5d3fb8ab4.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/c23f7b4032a5d3fb8ab4.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:53	52873/52873	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:52%20GMT	http://mitsubishisavico.com.vn/tin-tuc/mitsubishi-mirage-2017-chien-binh-sung-suc-moi-cua-de-che-xe-nhat-n422.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/mitsubishi-mirage-2017-chien-binh-sung-suc-moi-cua-de-che-xe-nhat-n422.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tong-hop-c3/)
14:06:58	171915/171915	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f99942-29f8b%22	http://mitsubishisavico.com.vn/w/wp-content/uploads/2017/10/%c4%90i%e1%bb%81u-h%c3%b2a-t%e1%bb%b1-%c4%91%e1%bb%99ng-2-v%c3%b9ng-%e2%80%93-2-d%c3%a0n-l%e1%ba%a1nh.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/w/wp-content/uploads/2017/10/%c4%90i%e1%bb%81u-h%c3%b2a-t%e1%bb%b1-%c4%91%e1%bb%99ng-2-v%c3%b9ng-%e2%80%93-2-d%c3%a0n-l%e1%ba%a1nh.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/tin-khuyen-mai-c5/)
14:06:59	37691/37691	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:58%20GMT	http://mitsubishisavico.com.vn/tin-tuc/tin-tong-hop-c3/?page=2	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/tin-tong-hop-c3/index4658.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tong-hop-c3/)
14:07:01	37106/37106	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:07:00%20GMT	http://mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-82018-n666.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-82018-n666.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tuyen-dung-c4/)
14:07:16	100181/100181	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259253d53-18755%22	http://mitsubishisavico.com.vn/w/wp-content/uploads/2017/05/Thumb-tuyen-dung.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/w/wp-content/uploads/2017/05/Thumb-tuyen-dung.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tuyen-dung-c4/)
14:07:18	36912/36912	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:07:17%20GMT	http://mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-112017-n541.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-112017-n541.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tuyen-dung-c4/)
14:07:19	37477/37477	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:07:18%20GMT	http://mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-92017-n510.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/thong-bao-tuyen-dung-thang-92017-n510.html	(from http://mitsubishisavico.com.vn/tin-tuc/tin-tuyen-dung-c4/)
